cpt_code_range,ccs_numerical_label
61000-61055,1
61105-61106,1
61108-61130,1
61150-61156,1
61250-61315,1
61320-61323,1
61340-61340,1
61345-61440,1
61470-61490,1
61510-61516,1
61518-61530,1
61534-61545,1
61556-61557,1
61570-61576,1
61582-61596,1
61598-61608,1
61615-61616,1
61712-61735,1
61880-61880,1
62161-62164,1
0169T-0169T,2
61107-61107,2
61210-61210,2
62160-62160,2
62180-62258,2
0202T-0202T,3
0274T-0275T,3
22856-22856,3
22858-22861,3
22864-22864,3
61343-61343,3
62287-62287,3
62351-62351,3
63001-63252,3
63655-63655,3
63709-63709,3
63740-63740,3
C9729-C9729,3
G0276-G0276,3
S2348-S2348,3
S2350-S2350,3
S2351-S2351,3
62270-62272,4
62263-62264,5
62274-62282,5
62288-62289,5
62298-62298,5
62310-62350,5
62355-62355,5
63600-63610,5
63650-63650,5
63657-63688,5
63750-63780,5
64412-64412,5
64416-64416,5
64446-64446,5
64448-64449,5
64470-64484,5
28035-28035,6
29848-29848,6
64702-64727,6
0077T-0077T,7
0106T-0110T,7
0199T-0199T,7
0285T-0285T,7
0333T-0333T,7
0341T-0341T,7
0381T-0386T,7
61140-61140,7
61750-61751,7
61795-61795,7
62267-62267,7
62269-62269,7
63690-63690,7
64795-64795,7
92516-92516,7
95857-95872,7
95874-95882,7
95885-95943,7
95965-95982,7
95999-96003,7
96020-96020,7
96105-96115,7
G0255-G0255,7
G0453-G0453,7
S3900-S3900,7
S3905-S3905,7
S8040-S8040,7
0018T-0018T,8
0160T-0160T,8
0161T-0161T,8
0278T-0278T,8
0310T-0310T,8
61070-61070,8
62273-62273,8
62369-62370,8
63691-63691,8
64400-64405,8
64413-64415,8
64417-64445,8
64447-64447,8
64450-64455,8
64486-64550,8
64680-64681,8
95873-95873,8
95990-95992,8
S9090-S9090,8
0062T-0062T,9
0063T-0063T,9
0282T-0284T,9
0338T-0339T,9
15750-15750,9
22505-22505,9
22520-22522,9
22526-22527,9
27003-27003,9
27035-27035,9
27315-27320,9
27325-27326,9
28030-28030,9
28055-28055,9
28080-28080,9
31595-31595,9
32664-32664,9
56322-56323,9
61450-61460,9
61500-61501,9
61531-61533,9
61550-61552,9
61558-61567,9
61580-61581,9
61618-61619,9
61760-61793,9
61796-61875,9
62100-62148,9
62268-62268,9
62292-62294,9
62360-62365,9
63265-63308,9
63615-63621,9
63700-63707,9
63710-63710,9
63741-63746,9
64408-64410,9
64553-64647,9
64732-64792,9
64802-64999,9
67570-67570,9
69720-69745,9
69955-69955,9
S2235-S2235,9
S2370-S2370,9
S2371-S2371,9
60210-60271,10
60100-60100,11
95250-95251,11
32673-32673,12
60000-60001,12
60200-60200,12
60280-60545,12
60650-60699,12
61546-61548,12
62165-62165,12
79000-79020,12
0289T-0290T,13
65710-65757,13
0123T-0123T,14
0176T-0176T,14
0177T-0177T,14
0191T-0191T,14
0192T-0192T,14
0253T-0253T,14
65820-65855,14
66150-66185,14
66700-66761,14
0308T-0308T,15
65920-65920,15
66820-66986,15
C9732-C9732,15
0173T-0173T,16
67039-67040,16
67101-67113,16
67141-67145,16
0016T-0016T,17
0017T-0017T,17
67208-67229,17
C1360-C1360,17
G0184-G0184,17
G0185-G0185,17
G0186-G0186,17
G0187-G0187,17
0065T-0065T,18
0181T-0181T,18
0187T-0187T,18
0329T-0330T,18
61332-61332,18
65410-65410,18
65430-65430,18
65800-65800,18
67346-67350,18
67400-67400,18
67415-67415,18
67450-67450,18
67810-67810,18
68100-68100,18
68510-68510,18
68525-68525,18
92145-92145,18
S0620-S0620,18
S0621-S0621,18
S0625-S0625,18
S0820-S0820,18
S0830-S0830,18
S3000-S3000,18
0099T-0099T,19
0124T-0124T,19
0207T-0207T,19
13150-13153,19
15820-15823,19
65210-65210,19
65270-65286,19
65400-65400,19
65420-65426,19
65435-65600,19
65760-65779,19
66250-66250,19
67700-67808,19
67820-68040,19
68110-68505,19
68520-68520,19
68530-68840,19
S0800-S0800,19
S0810-S0810,19
S0812-S0812,19
0100T-0100T,20
0186T-0186T,20
0190T-0190T,20
0376T-0376T,20
65265-65265,20
65805-65815,20
65860-65900,20
65930-66130,20
66220-66225,20
66500-66682,20
66762-66770,20
66990-67038,20
67041-67043,20
67115-67121,20
67250-67299,20
C1088-C1088,20
0356T-0356T,21
21280-21282,21
61330-61330,21
61333-61334,21
65091-65175,21
65290-65290,21
67311-67345,21
67399-67399,21
67405-67414,21
67420-67445,21
67500-67560,21
67599-67599,21
68899-68899,21
69604-69604,22
69610-69637,22
69420-69421,23
69433-69440,23
S2225-S2225,23
69501-69530,24
69601-69603,24
69605-69605,24
69641-69646,24
69802-69802,24
69910-69910,24
69100-69105,25
92626-92627,25
92640-92640,25
69000-69090,26
69110-69155,26
69205-69210,26
69300-69410,26
69424-69424,26
69450-69450,26
69535-69554,26
69650-69718,26
69799-69801,26
69805-69905,26
69915-69950,26
69960-69960,26
69979-69979,26
92630-92633,26
G0268-G0268,26
S2230-S2230,26
S9092-S9092,26
30901-30920,27
31238-31238,27
42970-42970,27
30400-30545,28
30620-30630,28
21110-21110,29
21497-21497,29
41800-41806,29
41821-41850,29
41874-41899,29
42820-42836,30
42860-42870,30
30100-30100,31
31231-31237,31
31250-31250,31
31260-31260,31
31270-31270,31
40490-40490,31
40808-40808,31
41100-41108,31
42100-42100,31
42400-42405,31
42800-42806,31
92502-92504,31
92511-92512,31
92525-92525,31
92610-92617,31
92700-92700,31
G0193-G0193,31
G0194-G0194,31
G0195-G0195,31
G0196-G0196,31
0088T-0088T,32
0168T-0168T,32
21076-21089,32
30020-30020,32
30118-30118,32
30125-30125,32
30200-30210,32
31000-31002,32
40806-40806,32
40819-40819,32
40830-40831,32
41010-41010,32
41115-41115,32
41250-41252,32
42000-42000,32
42960-42960,32
99188-99188,32
20912-20912,33
21100-21100,33
30000-30000,33
30110-30117,33
30130-30160,33
30220-30220,33
30310-30310,33
30560-30600,33
30801-30802,33
30999-30999,33
31020-31205,33
31239-31249,33
31251-31258,33
31261-31269,33
31271-31299,33
31390-31395,33
40500-40801,33
40810-40816,33
40820-40820,33
40840-41009,33
41015-41018,33
41110-41114,33
41116-41155,33
41500-41599,33
41820-41820,33
41870-41872,33
42104-42340,33
42408-42510,33
42600-42725,33
42808-42808,33
42810-42815,33
42842-42845,33
42880-42955,33
42961-42962,33
42971-42999,33
43030-43030,33
